Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29
패션의류,50000000,트위드자켓,246700.0,2745.8,높음,59.57693,64.593,67.19921,70.23384,57.72938,59.30917,62.44198,59.38057,57.7383,64.26276,75.24098,67.73473,72.27775,76.89218,78.56122,78.43627,92.59193,100.0,87.79007,79.94466,77.24027,71.86719,68.50232,70.34094,73.47375,65.3338,60.96037,62.20992,58.55051,51.65119
패션의류,50000000,원피스,210800.0,1058.3,중간,53.54337,55.98,58.80042,62.64726,48.92002,50.91931,53.11495,53.78436,58.84505,64.57515,72.76865,59.13066,60.34451,59.4609,61.01392,58.43448,68.24348,75.61585,59.9875,61.21028,59.86254,58.55051,56.64048,64.85183,74.46447,64.02177,61.04962,60.38022,62.71867,58.72902
패션의류,50000000,트렌치코트,104800.0,641.5,중간,16.84219,18.82363,19.75187,21.83148,18.46661,19.18064,22.53659,20.79614,21.16208,24.73223,28.64155,25.7408,28.0257,30.78364,30.35523,31.40842,33.95215,38.47732,31.22991,32.61335,30.73009,27.70439,28.40057,31.19421,36.42449,33.27383,30.39093,32.0332,27.93645,25.87468
패션의류,50000000,경량패딩,133200.0,895.4,높음,41.76187,41.73509,43.38629,54.1146,54.65905,51.55301,53.0614,50.89253,40.04819,41.13709,49.55373,49.84826,45.31417,49.35737,44.06461,39.19136,36.1835,37.99535,38.70938,37.799,34.34487,31.9975,29.13245,24.03605,24.17886,25.48197,26.54409,24.39307,22.81328,19.81435
패션의류,50000000,써스데이아일랜드원피스,34440.0,206.2,높음,6.97965,9.07711,9.56801,9.76436,8.11317,7.85433,8.36308,8.55051,9.08604,10.43377,11.52267,9.22884,9.05926,9.87147,9.51445,9.30024,11.52267,12.45983,9.5323,8.65762,8.66654,8.48803,7.97929,11.96893,12.71867,9.09496,9.4966,9.14851,10.14816,9.64833
패션의류,50000000,코트,32900.0,114.3,높음,27.9796,30.89016,31.57,33.80072,29.29679,29.33928,28.99936,28.4045,25.98257,29.70044,29.16932,27.17229,26.87486,27.89462,25.53643,24.49543,21.73358,20.28893,18.92925,21.90354,22.88081,20.09772,18.14319,15.23263,13.2356,13.78797,12.74697,13.49054,12.27958,12.49203
패션의류,50000000,가디건,101800.0,430.5,중간,49.26704,58.14743,56.32037,65.85935,56.34161,61.75908,60.88803,59.40089,55.38559,59.74081,69.38602,67.28277,66.32674,68.98236,72.84894,69.74718,77.884,88.8039,77.884,75.48332,68.55746,66.62417,63.9898,72.61525,86.08455,79.20118,74.80348,78.11769,69.34353,65.81686
패션의류,50000000,블라우스,67460.0,541.9,중간,34.20437,39.62183,37.58232,41.23645,34.26811,35.84023,37.13618,37.4336,36.07393,41.6826,46.9301,43.61589,43.87083,42.87231,43.46717,42.21372,51.47652,60.44189,51.15785,47.90737,45.86785,42.04376,41.27894,49.81941,61.37667,54.53579,49.35202,51.34905,46.10155,42.34119
패션의류,50000000,써스데이아일랜드,111600.0,1175.8,중간,68.70618,77.33163,81.11323,84.80985,60.54811,66.77289,69.00361,71.29806,71.95666,85.31973,95.47482,75.97195,72.80645,70.76694,75.84448,77.28914,93.26534,100.0,75.16464,80.45464,72.95517,70.44826,72.91268,85.38347,93.13787,69.81091,71.46802,70.97939,70.57573,63.67112
패션의류,50000000,맨투맨,97000.0,747.8,높음,49.03335,52.8362,55.87422,67.41024,62.33269,64.77586,64.22349,61.29169,54.727,62.56639,74.52729,66.36923,68.17505,69.53473,64.73337,57.51009,69.13108,84.68238,73.40131,68.49373,66.7304,61.65285,54.93945,65.15827,81.87805,72.70023,66.22052,68.47248,63.30996,55.53431
패션의류,50000000,여성경량패딩,39100.0,222.3,중간,34.54787,33.93617,31.72872,39.52127,37.04787,42.81914,47.28723,44.30851,40.10638,40.29255,46.48936,44.3351,41.17021,45.55851,44.86702,35.98404,33.16489,32.79255,37.10106,37.79255,29.3351,30.26595,25.50531,21.48936,20.98404,22.34042,24.57446,23.51063,19.20212,19.22872
패션의류,50000000,후드티,93500.0,752.3,높음,65.31914,76.30319,75.45212,90.55851,72.28723,73.32446,83.03191,78.16489,71.96808,85.31914,95.23936,81.1968,83.7234,84.9468,76.17021,73.13829,91.35638,100.0,84.92021,82.10106,78.98936,80.82446,67.65957,82.34042,88.56382,79.20212,75.5851,73.48404,68.48404,61.06382
패션의류,50000000,패딩조끼,47670.0,265.0,중간,39.92021,41.64893,41.06382,50.05319,43.96276,48.80319,51.80851,46.30319,38.13829,44.44148,61.62234,52.73936,48.19148,49.44148,51.96808,44.84042,44.46808,52.26063,44.41489,42.71276,37.26063,36.70212,31.14361,29.38829,29.04255,28.48404,25.6117,27.84574,24.70744,20.71808
패션의류,50000000,여성자켓,55970.0,505.4,높음,31.27659,33.61702,34.62765,37.52659,32.84574,36.88829,40.07978,35.6117,34.41489,41.03723,47.4468,40.13297,44.3617,47.07446,53.05851,47.02127,58.51063,58.45744,55.07978,53.98936,46.17021,46.88829,47.36702,50.82446,53.7234,50.50531,43.80319,47.4734,45.39893,42.36702
패션의류,50000000,모조에스핀원피스,19510.0,280.9,중간,13.13829,16.94148,20.10638,21.88829,12.81914,15.79787,14.60106,17.42021,15.47872,19.25531,20.50531,17.87234,17.63297,15.50531,18.03191,16.03723,17.92553,19.9734,16.2234,17.15425,16.64893,17.10106,16.17021,18.82978,20.47872,16.03723,15.66489,16.88829,15.10638,15.13297
